Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Front,—,251-500,"Front is a communication hub for building strong customer relationships on digital channels. For many businesses, almost every customer conversation can make or break the relationship — the stakes are that high. Front puts these conversations at the center of a team’s attention and surrounds them with collaboration capabilities and contextual data from multiple systems. This lets teams stay focused on delivering timely, accurate, and deeply personalized communications. More than 7,500 businesses, including Shopify, Airbnb, Hulu, Lyft, and Mailchimp, use Front to build better customer relationships, one conversation at a time. To learn more, visit front.com.","San Francisco, California, United States","Oct 1, 2013","Collaboration, CRM, Customer Service,",Front is a communication hub for building strong customer relationships on digital channels.,"Jun 28, 2022",Series D,"$65,000,000","Sequoia Capital, Y Combinator,,,",$1M to $10M,"Women Founded, Women Led","San Francisco Bay Area, West Coast,"
Silver Lake,—,101-250,"Silver Lake is a global technology investment firm focused solely on making large-scale investments in leading technology companies. They are partners to world-class management teams that seek to use their capital and expertise to build and extend their market leadership. seeks to formulate its investments to enable growth and frequently employs conservative capital structures designed to drive aggressive investment in new initiatives, innovation, and business expansion. Their core investment thesis is that the technology industries represent an extraordinary yet under-exploited target for large-scale private investments. The firm also seeks to cultivate proprietary or specialized investment opportunities not typically available to generalist investors. It devotes its full scope of talent and intellectual capital to the singular mission of investing in the world’s technology, technology-enabled businesses, and related growth businesses. Silver Lake was established in 1999 by David Roux, Glenn Hutchins, Jim Davidson, and Roger McNamee and is based in Menlo Park, California.","Menlo Park, California, United States",1999,"Finance, Financial Services, FinTech,,",Silver Lake is a global technology investment firm focused solely on making large-scale investments in technology companies.,"Jul 6, 2021",Private Equity,"$40,000,000","Mubadala, Dyal Capital Partners,",$100M to $500M,—,"San Francisco Bay Area, Silicon Valley,"
Mambu,—,501-1000,"Mambu is a software-as-a-service banking engine provider that powers lending and deposit services. The company provides financial institutions of all sizes to design, launch, service, and scale their banking and lending portfolio. It empowers over 7,000 loan and deposit products which serve over eight million end customers. With more than three million active accounts in over 46 countries, ranging from fintech to traditional banks.","Berlin, Berlin, Germany",2011,"Banking, Financial Services, FinTech,,",Mambu is a software-as-a-service banking engine provider that powers lending and deposit services.,"Dec 9, 2021",Series E,"€235,000,000","Runa Capital, Tiger Global Management,,,",$1B to $10B,—,European Union (EU)
Reebelo,—,51-100,"Reebelo is the world's favorite marketplace for pre-loved tech devices & sustainable lifestyle products. Our vision is to reduce e-waste and create a positive impact by building a circular economy. While doing so, we enable consumers to save up to 70% on their favorite brands. Reebelo is based in San Mateo (CA, USA), Singapore, Australia, New Zealand, Hong Kong & Malaysia. Get in touch if you want to be part of a high-growth, disruptive team working to make a positive impact.","Singapore, Central Region, Singapore",Oct 2019,"Consumer Goods, E-Commerce,,,",Reebelo is a marketplace for a wide variety of refurbished electronic devices & sustainable lifestyle products.,"Mar 20, 2023",Series A,"$29,000,000","Antler, FJ Labs, Cathay Innovation,,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
CNH Industrial,—,10001+,"CNH Industrial is a capital goods company that designs, produces and sells agricultural and construction equipment, trucks, commercial vehicles, buses, and specialty vehicles. It is present in all major markets worldwide and is focused on expanding its presence in high-growth markets, including through joint ventures. CNH Industrial was founded in 2013.","Basildon, Essex, United Kingdom",2013,"Industrial, Manufacturing",CNH Industrial is a capital goods company that provides a wide range of industrial products.,"Jul 2, 2020",Post-IPO Debt,"$600,000,000",—,$10B+,—,—
Eurazeo,—,251-500,"Eurazeo is a private equity and venture capital firm that invests in SMEs and manages a diversified portfolio of assets. With its expertise in private equity, real estate, and private debt, the group supports companies of all sizes in their development commitment through the commitment of its 235 professionals. It provides companies with the necessary investments needed to realize their growth potential. The firm was founded in 1969 and is based in Paris, Ile-de-France, France.","Paris, Ile-de-France, France","Jul 18, 1969","Asset Management, Finance, Financial Services,,",Eurazeo is a private equity and venture capital firm that invests in SMEs and manages a diversified portfolio of assets.,"Jun 6, 2017",Post-IPO Equity,"€790,500,000",JCDecaux,$1B to $10B,—,European Union (EU)
GrubMarket,—,1001-5000,"GrubMarket develops a website where sellers can offer foods and other items at wholesale prices to customers. It offers products such as organic foods, vegetables, gluten-free foods, snacks, drinks, pantries, home goods, health and beauty products, baby and kids' products, pets, non-GMO foods, paleo foods, cholesterol-free, and no trans-fat foods. GrubMarket also offers foods from local farms, fisheries, commercial kitchens, certified home kitchens, and restaurants. Mike Xu founded GrubMarket in 2014, with its headquarters in Newark in California with an additional office in San Francisco in California.","San Francisco, California, United States",2014,"E-Commerce, Food and Beverage,",GrubMarket is a technology enabler and digital transformer of American food supply chain industry.,"Sep 28, 2022",Venture - Series Unknown,"$120,000,000","Alumni Ventures, Gaingels, Y Combinator,,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
GoCardless,Yes,501-1000,"GoCardless is the global leader in recurring payments. GoCardless' global payments network and technology platform take the pain out of getting paid for businesses with recurring revenue. More than 40,000 businesses worldwide, from multinational corporations to SMBs, transact through GoCardless each month, and the business processes $10bn of payments each year. GoCardless now has four offices in the UK, France, Australia, and Germany.","London, England, United Kingdom",2011,"Financial Services, FinTech, Payments",GoCardless is a payment company that makes collecting payments by direct debit easy for everyone.,"Jul 26, 2022",Venture - Series Unknown,—,"Y Combinator, Google Ventures,,,",$50M to $100M,—,—
Skupos,Yes,101-250,"Skupos enables smarter, more lucrative retail by bringing independent businesses, brands, and distributors together on a single platform. The company provides c-store operators with real-time inventory, automated purchasing, sales, ordering, and operational analytics.","San Francisco, California, United States","Apr 4, 2016","Analytics, Big Data, Information Services,,,",Skupos is a data platform that uses technology to fuel the convenience retail industry.,"Mar 20, 2023",Series B,"$22,500,000","Brex, Insight Partners, Dynamo,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
Career Karma,—,101-250,"Career Karma is the easiest way to find a job training program online. Over 1 million workers navigate their careers every month through advice and coaching. By offering free coaching and peer mentorship, Career Karma has grown to over 150,000 members from every background and profession. Through its directory of 9,000 boot camps and trade schools, career switchers discover training programs by comparing courses and reading student reviews. The Career Karma mobile app makes your decision even easier. In the app, you can connect with current students and alumni to find your ideal program and get prepared for admission.","San Francisco, California, United States",Apr 2018,"Career Planning, Social Network,",Career Karma helps people find career advice and job training to navigate their careers.,"Jan 10, 2022",Series B,"$40,000,000","Gaingels, SoftBank, Alumni Ventures,,",—,"Black / African American Founded,,","San Francisco Bay Area, West Coast,"
