Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Origis Energy,Yes,51-100,"Origis Energy is a solar development and construction firm that brings clean solar and energy storage solutions to utility, commercial, and industrial sectors. The company provides solar and energy storage development, financing, engineering, procurement, and construction (EPC), as well as operations and asset management. Origis Energy was established in 2008 in Miami, Florida by Guy Vanderhaegen.","Miami, Florida, United States",2008,"Clean Energy, Energy, Renewable Energy,",Origis Energy is a solar development and construction firm that provides clean solar and energy storage solutions.,"Mar 7, 2023",Debt Financing,"$750,000,000","Deutsche Bank, HSBC, First Citizens Bank,,",$10M to $50M,—,"Greater Miami Area, East Coast,"
Bach,—,11-50,"Bach solves the myriad pain points behind coordinating group travel, allowing groups to discover, decide, and plan in one place, complete with a marketplace for bookable experiences and critical features including group chat, expense splitting, polling, and itinerary creation.","New York, New York, United States","Mar 10, 2018","Events, Internet",BACH is a group travel app for bachelor/ette parties to plan and book incredible experiences,"Mar 9, 2023",Series A,"$9,000,000","Alumni Ventures, Corazon Capital,,,",$1M to $10M,—,"Greater New York Area, East Coast,"
Francisco Partners,—,101-250,"Francisco Partners is a global investment firm that specializes in partnering with technology and technology-enabled businesses. With $7 billion of capital under management, Francisco Partners is one of the world's largest technology-focused private equity funds. The firm was founded to pursue structured investments in technology companies undergoing strategic, technological, and operational inflection points. Francisco Partners targets control investments in private companies, with transaction values ranging from $30 million to $2 billion. The principals of Francisco Partners have invested in excess of $3 billion of equity capital in over 50 technology companies.","San Francisco, California, United States",1999,"Financial Services, Information Technology,",Francisco Partners is a global investment firm that specializes in partnering with technology and technology-enabled businesses.,"Jul 13, 2018",Corporate Round,—,"Goldman Sachs Asset Management,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
Zellerfeld Shoe,—,11-50,"Zellerfeld Shoe democratizes shoe manufacturing that produces a whole 3D-printed shoe with the push of a button. They develop their printing technology in-house and are continually challenging the current quo in order to bring about long-overdue reform in an undemocratic and immoral footwear business. The company was founded in 2020 and is based in Brooklyn, New York, United State.","Brooklyn, New York, United States","May 1, 2020","3D Printing, Manufacturing, Mechanical Engineering",Zellerfeld Shoe democratizes shoe manufacturing that produces a whole 3D-printed shoe with the push of a button.,"Feb 23, 2023",Seed,"$15,000,000","Founders Fund, Electric Feel Ventures",—,—,"Greater New York Area, East Coast,"
Happilo,—,101-250,"Happilo operates as a healthy food brand. Happilo brings to you an exclusive range of nuts, dried fruits, organic seeds, dry roasted snacks, trial mixes, festive gift hampers, and more.","Bangalore, Karnataka, India",2016,"Food and Beverage, Personal Health,",Happilo operates as a healthy food brand.,"Feb 21, 2022",Venture - Series Unknown,"$25,000,000","Motilal Oswal Private Equity, A91 Partners",$1M to $10M,—,Asia-Pacific (APAC)
Allianz,—,10001+,"Allianz offers a comprehensive range of insurance and asset management products and services to approximately 78 million customers in more than 70 countries. Their product portfolio includes a wide range of property-casualty and life/health insurance products for both private and corporate customers. They are the leading property-casualty insurer globally and rank among the top five in the life/health insurance business. Most of their insurance markets are served by local Allianz companies while selected business lines are run globally such as Global Corporate Customers, Credit Insurance, Assistance Services, Worldwide Care, Global Automotive, and Reinsurance.","München, Bayern, Germany",1890,"Asset Management, Financial Services,,","Allianz is an integrated financial services company offering a range of products, services, and solutions in insurance and asset management.","Apr 16, 2018",Post-IPO Equity,"$85,000,000",JD.com,$1M to $10M,—,European Union (EU)
DragonflyDB,—,1-10,—,"Tel Aviv, Tel Aviv, Israel",2022,Software,DragonflyDB is the fastest memory store in the universe.,"Mar 21, 2023",Series A,"$21,000,000","Quiet Capital, Redpoint",—,—,—
Arrival,—,1001-5000,"Arrival is a technology company that develops a generation of two electric vehicles. It develops software, materials, components, and scalable skateboard platforms and its micro-factories allow them to make vehicles and adapt to any mobility ecosystem. It is a zero-emission solution for cities and a human-centered, intelligent design to revitalize public transportation. The company’s new method uses low CapEx, rapidly scalable Microfactories that can be placed anywhere in the world to serve the regions they are located in. It was founded in 2015 and is headquartered in London, England.","London, England, United Kingdom",2015,"Automotive, Autonomous Vehicles,","Arrival is a developer and manufacturer of zero-emission, public transportation vehicles.","Mar 13, 2023",Post-IPO Equity,"$300,000,000","BlackRock, Wellington Management,,,",$100M to $500M,—,—
BuzzFeed,—,1001-5000,"BuzzFeed is a news and entertainment company that is redefining online advertising with its social, content-driven publishing technology. BuzzFeed provides the most shareable breaking news, original reporting, entertainment, and video across the social web to its global audience of more than 200M. It covers breaking news, produces original videos, and creates content that people want to share on the web. BuzzFeed was founded in 2006 by Jonah Peretti and John Johnson. It is headquartered in New York, New York.","New York, New York, United States",Nov 2006,"Advertising, Digital Entertainment,,,",BuzzFeed is a cross-platform digital media company delivering news and entertainment content to a global audience.,"Dec 3, 2021",Post-IPO Debt,"$150,000,000","Andreessen Horowitz, Lerer Hippeau,,,",$100M to $500M,—,"Greater New York Area, East Coast,"
98point6,—,251-500,"98point6 is a digital primary care service that delivers personalized consultation, diagnosis, and treatment to patients. The company combines deep technology with the expertise of board-certified physicians to provide text-based primary care anytime, anywhere. The company meets consumers where they are by offering private, text-based diagnosis and treatment via a mobile app. The company was founded in 2015 and is headquartered in Seattle, Washington.","Seattle, Washington, United States",Mar 2015,"Health Care, Health Diagnostics,,,","98point6 is a digital primary care service that provides personalized consultation, diagnosis, and treatment to patients.","Sep 1, 2022",Convertible Note,"$20,000,000","Goldman Sachs, L Catterton, Activant Capital,,",$10M to $50M,—,"Greater Seattle Area, West Coast,"
