Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
NJOY,—,101-250,"NJOY is the trade name of NJOY, LLC, an independent American company that manufactures and distributes electronic cigarettes and vaping products. With offices located in New York City and Arizona, NJOY is a pioneer in vaping and a leader in a revolution against combustible cigarettes. The brand was founded in 2007 and has continued to serve as the innovation and thought leader in the vaping category, which is experiencing significant growth. NJOY products are sold in all 50 states in the United States. NJOY markets its products online; and through a network of retail stores, convenience stores, and dealers in the United States.","Scottsdale, Arizona, United States",2006,"Consumer Electronics, Electronics,,,",NJOY is a distributor and manufacturer of e-cigarettes and vaping products for dult smokers and vapers.,"Mar 5, 2021",Private Equity,"$5,000,000","FLFC Lending, 44 Capital Investments,,,",$10M to $50M,—,"Greater Phoenix Area, Western US"
Cloudflare,—,501-1000,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online. Its online platforms include Cloudflare CDN that distributes content around the world to speed up websites, Cloudflare optimizer that enables web pages with ad servers and third-party widgets to download Snappy software on mobiles and computers, CloudFlare security that protects websites from a range of online threats including spam, SQL injection, and DDOS, Cloudflare analytics that gives insight into website’s traffic including threats and search engine crawlers, Keyless SSL that allows organizations to keep secure sockets layer (SSL) keys private, and Cloudflare applications that help its users install web applications on their websites. Lee Holloway, Matthew Prince, and Michelle Zatlyn founded Cloudflare in 2009, with its headquarters in San Francisco in California.","San Francisco, California, United States",Jun 2009,"Analytics, Enterprise Software,,",Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,"Mar 12, 2019",Series E,"$150,000,000","Google, National Science Foundation,,,",$100M to $500M,Women Founded,"San Francisco Bay Area, West Coast,"
Pipefy,—,501-1000,"Pipefy is the no-code workflow management software that increases team productivity, centralizes data, and standardizes processes for teams like Finance, HR, Customer Service, and more so those requesting services, those processing the requests, and those managing the operation are more efficient. Through automated workflows and a no/low-code platform, Pipefy enhances speed, increases visibility, and delivers higher quality outcomes with ready-to-use, customizable workflows. Digitally transform the team in a matter of hours, not weeks or months. The company is headquartered in San Francisco, California.","San Francisco, California, United States",2013,"Information Technology, Marketing Automation,,,",Pipefy is a no-code process orchestration platform to easily automate workflows and manage business processes.,"Oct 26, 2021",Series C,"$75,000,000","500 Global, Insight Partners, SOFTBANK Latin America Ventures,,",$1M to $10M,"Hispanic / Latine Founded, Hispanic / Latine Led","San Francisco Bay Area, West Coast,"
Unity,—,5001-10000,"Unity Technologies provides multiplatform tools and services to developers of interactive content. It is the creator of the real-time 3D development platform, giving users powerful and accessible tools to create, operate, and monetize experiences for the real-time world. Unity empowers anyone, regardless of skill level and industry, to create 3D visual content using technology, operate using resources that maximize ease-of-use, and monetize, so that they can find success with their creations. In 2004, David Helgason, Joachim Ante, and Nicholas Francis launched Unity Technologies in San Francisco, California.","San Francisco, California, United States","Aug 2, 2004","Augmented Reality, Developer Platform,,",Unity provides multiplatform tools and services to developers of interactive content.,"Feb 3, 2021",Secondary Market,—,"Silver Lake, Sequoia Capital, Thrive Capital,,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
Near,—,251-500,"Near, the world’s largest source of intelligence on People, Places, and Products is the global leader in Data Intelligence empowering organizations of all sizes to make smart, strategic decisions delivering optimal business performance. We unite Marketers and Operational data leaders by providing the most accurate, reliable source of data that delivers actionable insights on People, Places, and Products in both the physical and digital space. Near is backed by leading investors including Sequoia Capital, JP Morgan Private Equity Group, Cisco Investments and Telstra Ventures. Visit www.near.com to find out more.","Singapore, Central Region, Singapore","Nov 1, 2012","Analytics, Artificial Intelligence,,,","Near is a SaaS platform that offers a unique source of intelligence on People, Place, and Product data.","Nov 9, 2022",Debt Financing,"$100,000,000","OurCrowd, Global Brain Corporation,,,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
The EVERY Company,—,51-100,"The EVERY Company is the market leader in engineering, manufacturing and formulating animal-free, animal proteins as ingredients for the global food and beverage industry. Leveraging advanced fermentation to produce functional and nutritional proteins from microorganisms, the Company is reimagining the factory farm model that underpins industrial animal agriculture with a more sustainable, kinder, and healthier alternative. Clara Foods is on a mission to decouple the world's most powerful proteins from the animals that make them.","South San Francisco, California,",2015,"Biotechnology, Food and Beverage,,,,","The EVERY Company makes real animal protein without the use of a single animal, starting with chicken-less egg proteins.","Feb 1, 2023",Venture - Series Unknown,—,"IndieBio, Temasek Holdings, Prosus Ventures,,",—,"Hispanic / Latine Founded, Hispanic / Latine Led","San Francisco Bay Area, West Coast,"
Rolls-Royce,—,10001+,"Rolls-Royce is an industrial technology company that provides integrated power and propulsion solutions. Rolls-Royce is a power systems provider that designs, manufactures, and supports a range of products and services for air, sea, and land applications. From transportation and energy to the built environment, the company operates in some of the most intricate and crucial sectors of the global economy. The products and services offered by Rolls Royce help their clients connect people, societies, cultures, and economies. They also help meet the growing demand for power generation across numerous industries and allow governments to provide their armed forces with the necessary power to protect their citizens.","London, England, United Kingdom","Mar 15, 1906","Aerospace, Automotive, Energy,,,,",Rolls-Royce is an industrial technology company that provides integrated power and propulsion solutions.,"Mar 17, 2023",Grant,"£2,900,000","United States Navy, Exelon Generation Company,,",$1B to $10B,—,—
HDFC Bank,—,10001+,"HDFC Bank's Corporate Governance Policy has been adopted keeping in mind the importance of attaining fairness for all stakeholders, as well as achieving organizational efficiency.","Mumbai, Maharashtra, India",1994,"Banking, Financial Services",HDFC Bank Offers a wide range of personal banking services including savings and current accounts.,"Dec 23, 2022",Post-IPO Debt,"$400,000,000","International Finance Corporation,",$1B to $10B,—,Asia-Pacific (APAC)
Axis Bank,—,10001+,"Axis Bank is the third largest private sector bank in India. Axis Bank is one of the first new generation private sector banks to have begun operations in 1994. The Bank was promoted in 1993, jointly by Specified Undertaking of Unit Trust of India (SUUTI) (then known as Unit Trust of India),Life Insurance Corporation of India (LIC), General Insurance Corporation of India (GIC), National Insurance Company Ltd., The New India Assurance Company Ltd., The Oriental Insurance Company Ltd. and United India Insurance Company Ltd. The shareholding of Unit Trust of India was subsequently transferred to SUUTI, an entity established in 2003. With a balance sheet size of Rs.2,85,628 crores as on 31st March 2012, Axis Bank is ranked 9th amongst all Indian scheduled banks. Axis Bank has achieved consistent growth and stable asset quality with a 5 year CAGR (2007-12) of 31% in Total Assets, 30% in Total Deposits, 36% in Total Advances and 45% in Net Profit.","Mumbai, Maharashtra, India","Dec 3, 1993","Banking, Financial Services, Insurance,","Axis Bank is a banking institution offering commercial, corporate and retail banking, and treasury operations.","Dec 19, 2017",Post-IPO Equity,"₹116,260,000,000","Bain Capital, Chrys Capital, LIC,",$10M to $50M,—,Asia-Pacific (APAC)
DuckDuckGo,—,101-250,"We're the Internet privacy company for everyone who's had enough of hidden online tracking and wants to take back their privacy now. For over a decade, we've built products, created new technology, and worked with policymakers to make online privacy simple and accessible for all. Every day, millions of people rely on our free all-in-one solution to stay private online. In one download we deliver privacy, simplified. Try DuckDuckGo Privacy Essentials on Safari, Firefox, & Chrome and the DuckDuckGo Privacy Browser for iOS or Android today.","Paoli, Pennsylvania, United States","Feb 29, 2008","Internet, Privacy, Search Engine,","Privacy, simplified. One super charged app, multiple types of privacy protection.","Aug 17, 2021",Series D,—,"Thrive Capital, Union Square Ventures,,,",—,—,"Greater Philadelphia Area, Great Lakes,"
Adyen,—,1001-5000,"Adyen operates as technology company in the Netherlands, Brazil, Singapore, the United Kingdom, Canada, Australia, South Korea, Hong Kong, Mexico, China, New Zealand, Malaysia, India, Japan, and the United States. It offers Adyen platform that integrates gateway, risk management, processing, acquiring, and settlement of payments for directly connecting merchants to Visa, Mastercard, and other payment methods, as well as sales channels, including its merchants' online, mobile, and point-of-sale channels. Pieter van der Does founded Adyen in 2006. It has its headquarters in Amsterdam in the Netherlands.","Amsterdam, Noord-Holland, The Netherlands",2006,"Financial Services, FinTech, Mobile Apps,","Adyen offers a platform that integrates gateway, risk management, processing, acquiring, and settlement of payments.","Sep 30, 2015",Series C,—,"Temasek Holdings, General Atlantic,,,",$500M to $1B,—,European Union (EU)
Luminar,—,251-500,"Luminar is a global automotive technology company ushering in a new era of vehicle safety and autonomy. For the past decade, Luminar has built an advanced hardware and software platform to enable its more than 50 industry partners, including the majority of global automotive OEMs. From Volvo Cars and Mercedes-Benz for consumer vehicles and Daimler Trucks for commercial trucks, to tech partners NVIDIA and Intel’s Mobileye, Luminar is poised to be the first automotive technology company to enable next-generation safety and autonomous capabilities for production vehicles. For more information please visit www.luminartech.com.","Orlando, Florida, United States",2012,"Automotive, Autonomous Vehicles,,","Luminar is an autonomous vehicle and lidar technology company for passenger cars, commercial trucking and robo-taxi.","Jan 20, 2022",Post-IPO Equity,"$20,250,000","Corning, 1517 Fund, Moore Capital,,",$10M to $50M,—,"East Coast, Southern US"
Squire,Yes,101-250,"Squire is a booking and payment platform that connects people with great barbers nationwide. Squire makes it easy to discover and book the best barbers wherever you are, in just a few taps. Squire is also the premier management platform for barbershops. Using Squire, barbers are able to engage their customers, process bookings and payments and better market their business through Squire’s “barbershop discovery” capabilities. Fully integrated with a point of sale, inventory management and payroll systems, Squire is a one-stop solution for barbershop owners to efficiently operate their business. With headquarters in New York and a presence in major cities in the United States and Canada, Squire has quickly become a market leader in technology solutions for the barbershop industry nationwide. For more information, please visit getsquire.com or download the Squire iOS app from the App Store.","New York, New York, United States",2015,"Consumer, Mobile Apps, Point of Sale,",The all-in-one platform to power your Barbershop Operations,"Jul 28, 2021",Series D,"$60,000,000","Y Combinator, Tiger Global Management,,,",—,"Black / African American Founded,","Greater New York Area, East Coast,"
CHARGE+ZONE,—,11-50,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company. The company's EV charging network is driven by a sophisticated Grid-to-Vehicle (G2V) technology that enables an unmanned EV Charging experience for the end EV user. It provides a wide range of data and software solutions to spearhead the use of electric vehicles. Charge+Zone's mission is to build 100,000 charging stations in key EV markets in India for cars, buses, and even trucks. Charge+Zone was founded in 2018 and is based in India.","Vadodara, Gujarat, India","Jul 24, 2018","Electric Vehicle, Energy, Renewable Energy,","Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Mar 20, 2023",Series A,"$46,000,000","Venture Catalysts, Mumbai Angels,",—,—,Asia-Pacific (APAC)
Silicon Valley Bank,—,5001-10000,"Silicon Valley Bank works with technology, life science, cleantech, venture capital, private equity, and premium wine businesses. SVB provides industry knowledge and connections, financing, treasury management, corporate investment, and international banking services to its clients worldwide through 27 U.S. offices and seven international operations. Banking innovative companies and exclusive wineries, Silicon Valley Bank’s diverse financial services, knowledge, global network, and world-class service increase its clients’ probability of success. Forbes Magazine ranks SVB among America’s Best Banks, and Fortune Magazine named SVB one of the Best Companies to Work For in 2012.","Santa Clara, California, United States","Oct 17, 1983","Banking, Consulting, Financial Services,,",Silicon Valley Bank is a venture debt provider that focuses on the tech startup sector.,—,—,—,—,$1B to $10B,—,"San Francisco Bay Area, Silicon Valley,"
