Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Gravie,—,101-250,"Gravie is a health benefits platform that offers insurance services. Their software products include Comfort and Ichra. Gravie designed health benefits to help employers control costs. They take a defined contribution approach, to employers set a fixed budget each year.","Minneapolis, Minnesota, United States",2013,"Employee Benefits, Financial Services,,",Gravie is an insurance company that provides brokerage and insurance coverage services.,"Mar 21, 2023",Series F,"$179,000,000","General Atlantic, FirstMark, AXA Venture Partners,,",$100M to $500M,—,"Greater Minneapolis-Saint Paul Area,,"
Wingtra,—,101-250,"Wingtra is a professional drone manufacturer. The company produces the VTOL WingtraOne drone, which collects high-precision aerial data for surveying and mapping applications. Drones are facilitating the digitization of their surroundings for surveying professionals in sectors including construction and infrastructure, mining, environmental monitoring, agriculture and urban planning, and land management. Since its market entry in 2017, Wingtra has partnered with more than 50 of the biggest surveying equipment dealers across the globe, such as RDO Inc. and SITECH.","Zurich, Zurich, Switzerland",2015,"Aerospace, Drone Management,,,",Wingtra is a manufacturer of professional mapping and surveying drones.,"Mar 20, 2023",Series B,"$22,000,000","European Innovation Council, Verve Ventures,,,",—,—,—
InfluxData,—,101-250,"InfluxData is the creator of InfluxDB, an open-source time series database and platform. The technology is purpose-built to handle the massive volumes of time-stamped data produced by IoT devices, applications, networks, containers, and computers. InfluxData is on a mission to help developers and organizations, such as Cisco, IBM, PayPal, and Tesla, in storing and analyzing real-time data, empowering them to build transformative monitoring, analytics, and IoT applications quickly and to scale.","San Francisco, California, United States",2012,"Analytics, Data Visualization, Database,,","InfluxData is the creator of InfluxDB, an open source time series database and platform.","Feb 8, 2023",Series E,"$51,000,000","Silicon Valley Bank, Y Combinator,,,",$10M to $50M,—,"San Francisco Bay Area, West Coast,"
Siemens AG,—,10001+,"Siemens is an engineering and electronics company that specializes in the fields of industry, energy, transportation, and healthcare. The company, formerly known as Siemens & Halske, was founded in 1847 and is headquartered in Munich, Germany. Siemens' principal activities are in the fields of industry, energy, transportation, and healthcare. Siemens AG offers insurance solutions, such as claims management, as well as acts as a broker of company-financed insurances for employees on business trips and foreign assignments.","Munich, Bayern, Germany",1847,"Consumer Electronics, Electronics,,","Siemens is an engineering and electronics company that specializes in the fields of industry, energy, transportation, and healthcare.","Mar 15, 2018",Post-IPO Equity,"€4,200,000,000",US Department of Energy,$10B+,—,European Union (EU)
Kroger,—,10001+,"Kroger is a grocery retailer that offers consumer products. Their manufacturing plants produce many of their brands' products, including breads, dairy products, meat and grocery items. They serve customers daily in their stores and online through e-commerce options.","Cincinnati, Ohio, United States",1883,"Grocery, Logistics, Retail",Kroger is a retail company that operates supermarkets and multi-department stores offering consumer goods.,"Feb 18, 2020",Post-IPO Equity,"$550,000,000",Berkshire Hathaway,$10B+,—,"Great Lakes, Midwestern US"
StarkWare Industries,—,51-100,"StarkWare Industries uses Stark technology to develop a full proof stack in generating and verifying proofs of computational integrity. It was founded in 2018 and is headquartered in Netanya, HaMerkaz, Israel.","Netanya, HaMerkaz, Israel","Jan 1, 2018","Blockchain, Cryptocurrency, Information Technology,",StarkWare Industries develops a full-proof stack in generating and verifying proofs of computational integrity in the blockchain.,"Jul 1, 2022",Venture - Series Unknown,"$9,483,949","ConsenSys, Sequoia Capital, Polychain,,",—,—,—
Gemini,—,501-1000,"Gemini is a next-generation cryptocurrency exchange and custodian that allows customers to buy, sell, and store digital assets. The company was founded in 2014, by brothers Cameron and Tyler Winklevoss, to build a bridge to the future of money. Its goal to build a world-class digital asset exchange and custodian based in the United States.","New York, New York, United States",2014,"Cryptocurrency, Finance, Financial Services,",Gemini is a licensed digital asset exchange and custodian built for both individuals and institutions.,"Feb 17, 2022",Venture - Series Unknown,—,"Mogo, Pario Ventures, Jane Street Capital,,",$100M to $500M,—,"Greater New York Area, East Coast,"
Transcarent,—,251-500,"Transcarent is a consumer-directed health and care platform for employees of self-insured employers and their families. Using a combination of software, technology, health guides, and data science, the company helps consumers with unbiased information, trusted guidance, and access to high-value care.","San Francisco, California, United States",2020,"Health Care, Personal Health,","Transcarent is a health and care experience company that makes it easy to get high-quality, affordable health and care.","Jan 11, 2022",Series C,"$200,000,000","General Catalyst, Kleiner Perkins,,,",—,—,"San Francisco Bay Area, West Coast,"
Una Brands,—,101-250,"Una Brands provides a fast and fair way for e-commerce business owners to sell their companies. The company uses significant growth capital to transform its e-commerce brand into a household name. Una's data analytics and AI platform will help automate and optimize their processes, giving them a competitive edge. Una Brands was founded in 2020 and is based in Singapore.","Singapore, Central Region, Singapore",2020,"Analytics, Artificial Intelligence,,",Una Brands provides a streamlined way for e-commerce business owners to sell their companies.,"Mar 1, 2023",Series C,"$30,000,000","500 Global, Global Founders Capital,,,",Less than $1M,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Krispy Kreme,—,1001-5000,"Krispy Kreme is a global retailer of premium-quality sweet treats and is famous for its original glazed doughnut. It is headquartered in Winston-Salem, North Carolina, and was founded in 1937. The company has developed an application named Krispy Kreme Hot Light. This app lets the user find out if there is a hot light near them. They can get alerts when a hot light is activated in their area. Their chain of stores is owned by JAB Holding Company.","Houston, Texas, United States",1937,"Food and Beverage, Food Processing,,",Krispy Kreme is a global retailer of premium-quality sweet treats and is famous for its original glazed doughnut.,"Mar 23, 2023",Post-IPO Debt,"$1,000,000,000",—,—,—,"Greater Houston Area, Southern US"
