Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
SoundHound,—,251-500,"SoundHound is a pioneer in the development of voice-enabled AI and conversational intelligence technologies. Houndify by SoundHound is the first independent AI platform that allows developers and business owners to deploy it anywhere while maintaining control over their brand and users while differentiating and innovating. Houndify provides all of the technology components required for voice and AI integration, including the fastest speech recognition, the most sophisticated natural language understanding, simple developer tools, knowledge graphs, and a large and rapidly expanding number of domains. Houndify technologies are the result of ten years of research and development. Hound's voice search and assistant app leverages the company's Speech-to-Meaning and Deep Meaning Understanding technologies on a consumer app level. Their SoundHound music recognition app applies technology to the listening experience, allowing users to discover, explore, and share music in their surroundings.","Santa Clara, California, United States","Sep 1, 2005","Artificial Intelligence, Audio, Machine Learning,,",SoundHound offers an independent voice AI platform that enables businesses to provide conversational experiences to their customers.,"Jan 24, 2023",Post-IPO Equity,"$25,000,000","Tencent, Naver, Oracle, Mercedes-Benz Group AG,",$100M to $500M,—,"San Francisco Bay Area, Silicon Valley,"
Blue Apron,—,1001-5000,"Blue Apron is a grocery delivery service company that offers fresh, chef-designed recipes to customers. The company's weekly subscription service delivers everything that the customers need to make fresh meals, including shopping for its customers at wholesale and delivering all the ingredients in specific proportions, along with printed recipe cards. It also offers its customers two flexible plans, a 2-Serving Plan; and a Family Plan. Blue Apron's recipes are accompanied by printed and digital content, including how-to-cook instructions and the stories of its suppliers and specialty ingredients. Blue Apron also sells wine, cooking tools, utensils, and pantry items.","New York, New York, United States",2012,"Delivery, E-Commerce, Food and Beverage,","Blue Apron is a grocery delivery service company that offers fresh, chef-designed recipes to customers.","Feb 10, 2023",Post-IPO Equity,"$70,000,000","Fidelity, First Round Capital, Bessemer Venture Partners,,",$100M to $500M,Women Led,"Greater New York Area, East Coast,"
Medwing,—,101-250,"Medwing is a job-matching and career consulting company that serves all healthcare professions. The platform employs digitization and automation to ensure that the matching process between specialists and hospital or nursing facilities is timely, efficient, transparent, and simple for all parties involved. The startup's platform, which over 500,000 healthcare workers use, includes over 5,500 hospitals and nursing homes.","Berlin, Berlin, Germany",2017,"Health Care, Human Resources,",Medwing is a healthcare start-up that provides opportunities to work in the healthcare sector.,"Mar 15, 2023",Series C,"€44,000,000","Cherry Ventures, SVB Capital,,,",—,—,European Union (EU)
Yubo,—,51-100,"Yubo, the social platform where Generation Z creates communities of friends around the world. Yubo lets users create live video discussion spaces where both streamers and viewers interact through a live chat. Relying on cutting-edge technology and tools specifically designed to protect the app users, Yubo provides a secure discussion platform built to widen their circle of friends. The social network favors sociability, sharing, and authenticity rather than the approval mechanisms and influencers systems of traditional social networks.","Paris, Ile-de-France, France",Oct 2015,"Apps, Mobile, Social Network,,","Yubo, the social platform where Generation Z creates communities of friends around the world","Nov 17, 2020",Series C,"$47,500,000","Village Global, NUMA, Robin Haak,,",—,—,European Union (EU)
Plus One Robotics,—,51-100,"Plus One Robotics develops a parcel-handling robotics platform for logistics applications. Plus One's intelligent solutions combine computer vision, AI, and supervised autonomy to pick parcels for the Global 100's leading logistics and e-commerce companies. Plus One's AI-powered software determines the precise movement of millions of SKUs in routine tasks like sortation and depalletizing. Plus One focuses on logistics application development and logistics robot deployment for material handling tasks in warehouses and distribution centers.","San Antonio, Texas, United States",2016,"Industrial Automation, Logistics,,",Plus One Robotics develops a parcel-handling robotics platform for logistics applications.,"Mar 7, 2023",Series C,"€50,000,000","Lerer Hippeau, ff Venture Capital,,,",$1M to $10M,Hispanic / Latine Founded,Southern US
StudentFinance,—,11-50,"StudentFinance is a provider of educational financial services that aims to provide students with success-based financing. The company's services select students through a selection process based on data forecasting using artificial intelligence technology and invest in students who primarily have technical skills and can become software engineers, data analysts, or cybersecurity experts, allowing students to advance in their career path and get the right job while also repaying the money. StudentFinance was established in March, 2019 in Madrid, Spain by Mariano Kostelec.","Madrid, Madrid, Spain",Mar 2019,"Banking, Education, Finance, Financial Services,",StudentFinance is a global career mobility fintech platform for re-skilling and up-skilling the global workforce.,"Feb 28, 2023",Series A,"€39,000,000","Google for Startups, Tom Blomfield,,,",—,—,European Union (EU)
Planet42,—,51-100,"Planet42 is democratizing mobility by enabling people ignored by banks to get access to a personal vehicle. The company leverages technology to mitigate risk and promote financial inclusion by buying second-hand cars from a network of motor dealers and providing them to customers on a subscription basis, without the need to physically see the car or meet the customer.","Gauteng, NA - South Africa, South Africa",2017,"Automotive, Financial Services,,",Planet42 is a vehicle rental company offering rent-to-buy services for its clients.,"Feb 22, 2023",Debt Financing,"ZAR1,551,200,000","Startup Wise Guys, Lendable, Change Ventures,,",—,—,—
Jobber,—,501-1000,"Jobber provides technology that helps small businesses across 50 different industries, including lawn care, HVAC, residential cleaning, tree care, and more, better connect with customers, grow their businesses, and compete against giant corporations. Unlike manual processes and single-feature apps, Jobber’s platform streamlines and automates daily operations, replacing duplicate entries and repetitive tasks with tailored automation. Since launching, businesses using Jobber have serviced over 10 million people in more than 43 countries, delivering over $6 billion annually, and growing, in services to their customers.","Edmonton, Alberta, Canada",2011,"Mobile, SaaS, Small and Medium Businesses,","Jobber is cloud software that helps mobile service businesses organize their scheduling, invoicing, CRM, and team management.","Feb 7, 2023",Series D,"$100,000,000","General Atlantic, OMERS Ventures,,,",—,—,—
Inflection Point Ventures,—,101-250,"Inflection Point Ventures, with over 3300 CXOs and professionals, HNIs and Family Offices, is India’s leading angel network investing in early-to-mid stage startups. IPV supports new-age entrepreneurs with not just capital but also uses its wide network of investors to provide startups with access to new markets, customers, guidance and mentorship. Inflection Point Ventures is democratizing angel investing with low membership fee, lowest investment ticket size (per investor), transparent investment process and extensive upfront due-diligence led by industry experts. IPV is industry agnostic, with a focus on committed and competent founders.","Gurgaon, Haryana, India",2017,"Business Development, Financial Services,",Inflection Point Ventures is an early stage angel investing platform that provides both monetary and non-monetary support to the startups.,"Jun 20, 2020",Series B,"$5,500,000",—,$10M to $50M,—,Asia-Pacific (APAC)
Infineon Technologies,—,10001+,"Infineon Technologies focuses on the three central challenges facing modern society Energy Efficiency, Communications and Security and offers semiconductors and system solutions for automotive and industrial electronics, chip card and security applications as well as applications in communications.","Neubiberg, Bayern, Germany","Apr 1, 1999","Consumer Electronics, Electronics,,,","Infineon Technologies offers semiconductor solutions, microcontrollers, LED drivers, sensors and Automotive & Power Management ICs.","Jun 17, 2019",Post-IPO Equity,"€1,545,000,000",—,$1B to $10B,—,European Union (EU)
