Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Wonderschool,—,51-100,"Started in 2016 by a group of educators and technologists in California, Wonderschool offers a platform where people can start infant and toddler programs and preschools out of their homes. Wonderschool supports experienced educators and childcare providers to start their own childcares or preschools out of their homes, whether they live in apartments, condos, or homes that they rent or own. Wonderschool provides assistance with licensing, program setup, marketing and everything in between. The company’s software platform allows teachers to manage their students, parents, and their program from one dashboard. Along with this, Wonderschool has built a marketplace for parents to search Wonderschool programs, schedule visits, enroll their children, and make payments. It’s been proven time and time again that children should start developing cognitive, motor, behavioral, and social skills from as early as 6 months and Wonderschool is committed to increasing families’ access to high quality care and learning environments for children.","San Francisco, California, United States",2012,"Child Care, EdTech, Education,,",Wonderschool offers a platform where people can start infant and toddler education programs and preschools out of their homes.,"Jan 11, 2022",Series B,"$25,000,000","Gaingels, Andreessen Horowitz,,,",—,"Black / African American Founded,,,","San Francisco Bay Area, West Coast,"
Accenture,—,10001+,"Accenture is a global management consulting, technology services and outsourcing company, with approximately 204,000 people serving clients in more than 120 countries. Combining unparalleled experience, comprehensive capabilities across all industries and business functions, and extensive research on the world's most successful companies, Accenture collaborates with clients to help them become high-performance businesses and governments.","Dublin, Dublin, Ireland",1989,"Construction, Consulting, Information Technology,","Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Oct 1, 2018",Grant,"$6,000,000",Youth Business International,$10M to $50M,—,European Union (EU)
Meituan,—,10001+,"Meituan develops and operates a platform providing retail and online group buying services. It retails and delivers Chinese food from local restaurants online. It operates a social commerce website that offers online group discounts for movie tickets, groceries, food, restaurants, entertainment, and health/fitness sectors. Zhang Tao founded Meituan Group in 2010 that became Meituan-Dianping in December 2015, with its headquarters in Beijing in China. Meituan-Dianping officially changed its name to Meituan in September 2020.","Beijing, Beijing, China",2010,"E-Commerce, Food Delivery, Internet,",Meituan develops and operates a platform providing retail and online group buying services.,"Apr 19, 2021",Post-IPO Equity,"$6,588,000,000","Tencent, Temasek Holdings, GIC,,",$10B+,—,Asia-Pacific (APAC)
WaveOne,—,1-10,"WaveOne is building the next generation of digital media compression. They are leveraging the latest advancements in machine learning and deep learning to create custom-tailored, context-dependent solutions.","Mountain View, California, United States",2016,"Information Technology, Internet",Context-adaptive compression of digital media.,"Dec 1, 2020",Seed,"$6,500,000",Khosla Ventures,—,—,"San Francisco Bay Area, Silicon Valley,"
Brookfield Renewable Partners,—,10001+,"Brookfield Renewable Partners has over a 100-year history of owning and operating assets with a focus on property, renewable power, infrastructure and private equity. Brookfield Renewable Energy Partners has entered into a Master Services Agreement with a subsidiary of Brookfield Asset Management, a global alternative asset manager with approximately $175 billion in assets under management, 23,000 operating employees, and 500 investment professionals.","Hamilton, Ontario, Canada",1890,"Asset Management, Clean Energy,","Brookfield Renewable Partners owns and operates assets in the property, renewable power, infrastructure and private equity sectors.","Nov 7, 2022",Post-IPO Debt,"CA$400,000,000",—,$1B to $10B,—,Great Lakes
Wefunder,—,51-100,"Wefunder is a crowd investing platform that offers capital raising services. The company's online platform offers investment services to startups through its investors' userbase and disruptive companies can receive amount as small as hundred dollars, enabling companies to grow and develop their businesses.","San Francisco, California, United States",2012,"Crowdfunding, Finance, Financial Services,,",Wefunder is a crowd investing platform that offers capital raising services.,"Nov 2, 2022",Series A,"$12,000,000","Y Combinator, TSVC, SGH CAPITAL,,",Less than $1M,—,"San Francisco Bay Area, West Coast,"
Sonos,—,1001-5000,"Sonos is a developer of wireless multi-room music systems for the home. The Sonos Multi-Room Music System is the first, wireless multi-room music system that plays all kinds of music and is able to control it. Sonos liberates the music stored on a computer so it can be enjoyed all over the house. In addition, by partnering with audio services like Audible.com, Last.FM, Napster, Pandora, RadioTime, Rhapsody, SIRIUS Internet Radio, and more, Sonos gives music lovers instant, computer-free access to millions of songs, thousands of radio stations, audiobooks, and more.","Santa Barbara, California, United States","Jun 30, 2002","Audio, Consumer Electronics,,,,",Sonos is a wireless multi-room music system enabling users to play music anywhere in the house and control it using a smartphone.,"Jul 12, 2018",Secondary Market,—,"EquityZen, Headline, Index Ventures,,",$100M to $500M,—,"West Coast, Western US"
Nutanix,—,5001-10000,"Founded in 2009, Nutanix is the first company to offer a radically simple compute and storage infrastructure for implementing enterprise-class virtualization without complex and expensive network storage (SAN or NAS) Built on architectural techniques employed in core infrastructure systems at Google, Nutanix Complete Cluster's converged compute and storage architecture can scale to manage petabytes of data while running thousands of virtual machines and aims to disrupt the multi-billion dollar virtualization industry. Since emerging from stealth mode in April 2011, Nutanix has raised $71 million in three funding rounds from top tier VCs that include Kholsa Ventures, Lightspeed Venture Partners, Goldman Sachs, Battery Ventures, and Blumberg Capital. Nutanix has been named to Gigaom's Top 50 Cloud Innovators list and won the 2011 Best of VMworld Gold award.","San Jose, California, United States",Sep 2009,"Data Center, Enterprise Software,,",Nutanix is a virtualized datacenter platform that provides disruptive datacenter infrastructure solutions for business applications.,"Aug 27, 2020",Post-IPO Debt,"$750,000,000","Goldman Sachs, National Science Foundation,,,",$1B to $10B,—,"San Francisco Bay Area, Silicon Valley,"
Vice Media,—,1001-5000,"Vice Media, a global youth media company, engages in print, event, music, online, television (TV), and feature film business activities in the United States and internationally. It specializes in publishing a magazine that covers information in various subjects, such as sex, drugs, music, fashion, photos, travel, sports, technology, food, not safe for work, and conflicts. Vice Media also produces and licenses its content for mobile, TV, film, and magazine companies and publishes videos across various content categories for the web. Moreover, it offers magazine subscriptions, books, and DVDs through its online store. Gavin McInnes, Shane Smith and Suroosh Alvi founded Vice Media in 1994. Its headquarters is in Brooklyn in New York.","Brooklyn, New York, United States",1994,"Media and Entertainment, News,,,",Vice Media is a North American digital media and broadcasting company focused on investigative journalism and enlightening videos.,"Feb 14, 2023",Debt Financing,"$30,000,000","Monroe Capital, The Walt Disney Company,,,",$100M to $500M,Women Led,"Greater New York Area, East Coast,"
SESAMm,—,51-100,"SESAMm is a fintech company that specializes in big data and artificial intelligence for investment. Its team builds analytics and investment signals by analyzing billions of web articles and messages using natural language processing and machine learning. With its NLP platform TextReveal and its quantitative data science platform SignalReveal, SESAMm addresses the entire value chain of alpha research. SESAMm’s 90 people team in Paris, New York, Tokyo, Tunis, UK, and Metz, works with major hedge funds, banks, and asset management clients around the world for both fundamental and quantitative use cases.","Paris, Ile-de-France, France","Apr 28, 2014","Analytics, Artificial Intelligence,,,,,,,,",SESAMm is a fintech company that specializes in big data and artificial intelligence for investment.,"Mar 1, 2023",Series B,"€35,000,000","Bpifrance, The Carlyle Group, Elaia,,",—,—,European Union (EU)
