Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
HP,—,10001+,"HP provides products, technologies, software, solutions, and services to individual consumers and small- and medium-sized businesses (SMBs) as well as to the government, health, and education sectors worldwide. The company’s personal systems segment offers commercial and consumer PCs, workstations, tablets, retail point-of-sale systems, calculators, and other related accessories, software, support, and services for the commercial and consumer markets. Its printing segment provides consumer and commercial printer hardware, supplies, media, and scanning devices as well as LaserJet and enterprise, inkjet and printing, and graphics solutions; and software and web services. The company’s software segment offers IT management, application testing and delivery, information management, big data analytics, security intelligence, and risk management solutions for businesses and enterprises; and licensing, support, and professional services as well as SaaS-based services. Its HP financial services segment provides leasing, financing, utility programs, and asset management services as well as investment solutions to SMBs, educational institutions, and governmental entities. The company’s corporate investments segment includes HP Labs and cloud-related business incubation projects. HP was founded in 1939 and is headquartered in Palo Alto, California.","Palo Alto, California, United States","Jan 1, 1939","Computer, Consumer Electronics,,,","HP is a manufacturer and seller of personal computers, printers, computer hardwares, and business solutions.","Apr 6, 2022",Post-IPO Equity,"$4,200,000,000",Berkshire Hathaway,$10B+,—,"San Francisco Bay Area, Silicon Valley,"
Flat6Labs,—,51-100,"Flat6Labs is the MENA region’s leading seed and early stage venture capital firm, currently running the most renowned startup programs in the region. Annually, Flat6Labs invests in more than 100 innovative and technology-driven startups enabling thousands of passionate entrepreneurs to achieve their daring ambitions and ultimately becoming their institutional co-founders. Flat6Labs manages a number of seed funds with a total AUM in excess of $85M. More than 25 leading institutions have invested into the Flat6Labs managed funds; believing in the asset class and Flat6Labs’ proven track record as the market leader.. Flat6Labs provides a wide range of investment ticket sizes ranging from $50K to $500k, supporting startups through their early journeys from Pre-Seed all the way to Pre-Series A stages. Alongside to the investments, Flat6Labs’ exceptional startup programs, executed to cater specifically for the needs of the innovative entrepreneurs, helps them accelerate their growth by providing them with a plethora of support services and connecting them to unparalleled opportunities with an expansive network comprising hundreds of business mentors, investors and corporates. Launched and headquartered in Cairo since 2011, Flat6Labs has multiple offices across the region; with ongoing plans to expand into other emerging markets.","Gîza, Al Jizah, Egypt","Jun 1, 2011","Apps, Finance, Training, Venture Capital",Flat6Labs is a seed and early-stage venture capital firm that primarily invests in tech-driven startups.,"Dec 16, 2016",Venture - Series Unknown,—,"International Finance Corporation,",$1M to $10M,—,—
Twitter,—,1001-5000,"Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as “tweets”. It enables registered users to read and post their tweets through the web, short message service (SMS), and mobile applications. As a global real-time communications platform, Twitter has more than 400 million monthly visitors and 255 million monthly active users around the world. Twitter’s active group of registered members includes World leaders, major athletes, star performers, news organizations, and entertainment outlets. It is currently available in more than 35 languages. Twitter was launched in 2006 by [Jack Dorsey](/person/jack-dorsey), [Evan Williams](/person/evan-williams), [Biz Stone](/person/biz-stone), and [Noah Glass](/person/noah-glass-2). Twitter is headquartered in San Francisco, California, USA, with local offices in Atlanta, Austin, Boston, Boulder, Chicago, Detroit, Los Angeles, New York, Sunnyvale, and Washington. Twitter's international offices are located in Amsterdam, Berlin, Dublin, London, Madrid, Paris, Rio de Janeiro, Sao Paulo, Singapore, Sydney, Seoul, Tokyo, Toronto, and Vancouver.","San Francisco, California, United States","Mar 21, 2006","Blogging Platforms, Messaging,,",Twitter is a social networking platform that allows its users to send and read micro-blogs of up to 280-characters known as tweets.,"Jun 1, 2022",Post-IPO Equity,—,"Andreessen Horowitz, T. Rowe Price,,,",$1B to $10B,—,"San Francisco Bay Area, West Coast,"
Ericsson,—,10001+,"Ericsson is a provider of technology and services to telecom operators. It offers 2G, 3G, and 4G mobile technologies, supports networks with over 2 billion subscribers, and has the leading position in managed services. The company's portfolio comprises mobile and fixed network infrastructure, telecom services, software, broadband, and multimedia solutions for operators, enterprises, and the media industry. The Sony Ericsson and ST-Ericsson joint ventures provide consumers with feature-rich personal mobile devices. Ericsson is advancing its vision of being the ""prime driver in an all-communicating world"" through innovation, technology, and sustainable business solutions. Working in 175 countries, more than 80,000 employees generated revenue of SEK 206.5 billion (USD 27.1 billion) in 2009. Founded in 1876 with headquarters in Stockholm, Sweden, Ericsson is listed on OMX NASDAQ, Stockholm, and NASDAQ New York.","Stockholm, Stockholms Lan, Sweden","Jan 1, 1876","Information Technology, Internet,,","Ericsson is a technology company that provides and operates telecommunications networks, television and video systems, and related services.","Jun 5, 2018",Post-IPO Debt,"€250,000,000","European Investment Bank, Nordic Investment Bank,,",$500M to $1B,—,"European Union (EU), Nordic Countries,"
Truecaller,—,51-100,"Truecaller makes your mobile environment smarter by allowing you to connect with who you want, when you want. Truecaller enables you to expand your contact list and reach people you want to find; helps you more easily identify who is calling your cell phone; and protects your mobile identity from unwanted spammers.https://only4usupport.blogspot.com/2019/05/truecaller-benefits-or-loss.html","Stockholm, Stockholms Lan, Sweden","Jul 1, 2009","Apps, Contact Management, Mobile,,",Truecaller is a mobile app that lets you see who's calling and block unwanted calls.,"Apr 28, 2021",Secondary Market,—,"Kleiner Perkins, Atomico, OpenOcean,,",$1M to $10M,—,"European Union (EU), Nordic Countries,"
Circle,—,501-1000,"Circle provides an online platform that enables users to send money quickly and easily. Circle uses blockchain technology with Circle Pay to ease and improve how users send money. Circle expands its services with a crypto-currency investment product with Circle Invest, enabling anyone to buy and sell crypto assets. It provides crypto-coins and offer OTC trading services via Circle Trade. Its crypto-trading desk provides one of the largest global liquidity pools for digital asset trading and averages $2 billion in monthly volume. Jeremy Allaire and Sean Neville founded Circle in 2013. $140 million from investors including Jim Breyer (Facebook), Goldman Sachs, IDG Capital (Baidu, Tencent), General Catalyst (AirBnB, Snapchat) and Accel Partners backs the company, with its headquarters in Boston, and branches in New York, San Francisco, Dublin, London, and Hong Kong.","Boston, Massachusetts, United States",2013,"Banking, Blockchain, Cryptocurrency,,",Circle is a global internet finance company built on blockchain technology and powered by crypto assets.,"Apr 12, 2022",Private Equity,"$400,000,000","FTX, CICC, Alumni Ventures, Bitmain,",—,—,"Greater Boston Area, East Coast,"
Fairmatic,—,51-100,"Fairmatic offers data-driven fleet insurance that rewards safety with savings. Fairmatic uses AI-powered technology in combination with troves of telematics data to create meaningful cost savings for fleets, safer roads, and a profitable business model. Fairmatic helps fleets in proactively managing safety issues with actionable insights.","Reno, Nevada, United States",2019,"Auto Insurance, Financial Services,",Fairmatic specializes in smartphone-powered driving safety analytics and calculates performance-based commercial auto insurance prices.,"Mar 16, 2023",Series B,"$46,000,000","Bridge Bank, Foundation Capital,,,",—,—,Western US
Zscaler,Yes,5001-10000,"Zscaler is revolutionizing internet security with the industry’s first Security as a Service platform. As the most innovative firm in the $35 billion security market, Zscaler is used by more than 5,000 leading organizations, including 50 of the Fortune 500. Zscaler ensures that more than 13 million users worldwide are protected against cyber attacks and data breaches while staying fully compliant with corporate and regulatory policies. Zscaler is a Gartner Magic Quadrant leader for Secure Web Gateways and delivers a safe and productive internet experience for every user, from any device and from any location—100% in the cloud. With its multi-tenant, distributed cloud security platform, Zscaler effectively moves security into the internet backbone, operating in more than 100 data centers around the world and enabling organizations to fully leverage the promise of cloud and mobile computing with unparalleled and uncompromising protection and performance. Zscaler delivers unified, carrier-grade internet security, next generation firewall, web security, sandboxing/advanced persistent threat (APT) protection, data loss prevention, SSL decryption, traffic shaping, policy management and threat intelligence—all without the need for on-premise hardware, appliances or software.","San Jose, California, United States",2008,"Cloud Security, Cyber Security,,",Zscaler is a global cloud-based information security company that enabling secure digital transformation for a mobile and cloud first world.,"Nov 8, 2017",Secondary Market,—,"EquityZen, Lightspeed Venture Partners,,,",$100M to $500M,—,"San Francisco Bay Area, Silicon Valley,"
Merck,—,10001+,"Merck is a biopharmaceutical company that offers medicines and vaccines for various diseases. The company is driven by a mission to discover, develop, and provide innovative products and services that save and improve lives around the world. Merck delivers vaccines, medications, and consumer and animal health products that can help millions around the world. Merck was founded in 1891 and is headquartered in Kenilworth, NJ.","Kenilworth, New Jersey, United States",1891,"Biotechnology, Health Care, Medical,",Merck is a biopharmaceutical company that offers medicines and vaccines for various diseases.,"Nov 25, 2018",Post-IPO Equity,"$586,000","Gavi, the Vaccine Alliance, Private Capital Advisors",$10M to $50M,—,"Greater New York Area, East Coast,"
Naver,—,1001-5000,"Naver operates as a search engine and e-commerce platform providing fintech, digital content, and cloud services. The company introduces innovative search services such as ‘Comprehensive Search,’ ‘Knowledge iN,’ and ‘Real-time Rising Keyword.' It also offers UGC services such as Blog and Cafe; Junior Naver, a children’s portal; Happybean, an online donation portal. NAVER launched its Webtoon service in June 2004 and has pioneered the distribution and consumption of webtoons, also known as digital comics. In addition, NAVER also offers services for the global market, including the mobile messenger LINE through LINE Corporation, NAVER’s subsidiary; the video messenger Snow; and the group communication service BAND. NAVER is also involved in software development and distribution; performances and exhibitions business; mobile content development and distribution; search advertising; internet commerce and customer service business; the operation and security services of IT infrastructure; operating online shopping services, and mobile applications marketing. Lee Hae-Jin and Lee Joon-ho headquartered the company in Seongnam, Kyonggi-do, South Korea in 1999.","Seongnam, Kyonggi-do, South Korea","Jun 2, 1999","Internet of Things, Online Portals,","Naver operates as a search engine and e-commerce platform providing fintech, digital content, and cloud services.","Jun 27, 2017",Post-IPO Equity,"₩500,000,000,000",Mirae Asset,$10B+,—,Asia-Pacific (APAC)
Ring,—,1001-5000,"Ring is an outdoor home security company that provides homeowners a line of preventative outdoor security doorbells and cameras. It is on a mission to reduce crime in neighborhoods and empower consumers by creating a Ring of Security around homes and communities with its suite of smart home security products: Ring Video Doorbell, Ring Video Doorbell Pro, Ring Stick Up Cam, and the new Ring Floodlight Cam. With these security devices, Ring has created the neighborhood watch for the digital age and continues to prevent burglaries and keep homes around the world safe. The company was established in 2012 and is based in Santa Monica, California.","Santa Monica, California, United States",2012,"Consumer Electronics, Security,",Ring is an outdoor home security that provides homeowners a line of preventative security doorbells and cameras.,"Jan 25, 2017",Series D,"$109,000,000","First Round Capital, Upfront Ventures,,,",$100M to $500M,—,"Greater Los Angeles Area, West Coast,"
Kindbody,—,501-1000,"Kindbody is a fertility clinic network and family-building benefits provider for employers offering comprehensive virtual and in-person care. Kindbody's clinically-managed program includes fertility assessments and education, fertility preservation, genetic testing, in vitro fertilization (IVF), donor and surrogacy services, and adoption. Employers partner with Kindbody to provide their employees with financial, medical, and emotional support as they pursue parenthood. Kindbody is the trusted fertility benefits provider for more than 100 employers, covering more than 2.4 million lives. Many thousands more receive their fertility care directly from Kindbody throughout the country at Kindbody’s network of signature clinics, mobile clinics, and partner clinics.","New York, New York, United States",2018,"Employee Benefits, Fertility, Health Care,,,,",Kindbody is a fertility clinic network and family-building benefits provider for employers.,"Mar 2, 2023",Debt Financing,"$100,000,000","Alumni Ventures, Google Ventures,,,",$1M to $10M,"Women Founded, Women Led","Greater New York Area, East Coast,"
Nike,—,10001+,"Nike is a sporting goods company that designs, develops, and markets footwear, apparel, equipment, and accessory products. The company offers various categories of shoes including running, training, basketball, soccer, sport-inspired urban shoes, and kids' shoes. It also provides shoes for aquatic activities, baseball, football, cheerleading, golf, lacrosse, outdoor activities, skateboarding, tennis, volleyball, walking, wrestling, and various athletic and recreational uses. In addition, the company offers sports-inspired lifestyle apparel, athletic bags, and accessory items. Further, it provides a line of performance equipment including bags, socks, sports balls, eyewear, timepieces, electronic devices, bats, gloves, protective equipment, golf clubs, and various equipment designed for sports activities under the NIKE brand name, as well as markets apparel with licensed college and professional team and league logos. Additionally, it offers licenses to produce and sell NIKE brand swimwear, children's apparel, training equipment, eyewear, electronic devices, and golf accessories. The company also markets its products under the brand names of Converse, Chuck Taylor, All Star, One Star, Umbro, Jack Purcell, Cole Haan, Bragano, and Hurley. It sells its products to retail accounts through stores, independent distributors, and licensees, as well as through its Website, nikestore.com. As of May 31, 2009, Nike, Inc. operated 338 retail stores in the United States and 336 retail stores internationally. The company was founded in 1964 and is headquartered in Beaverton, Oregon.","Miami Beach, Florida, United States","Jan 25, 1964","E-Commerce, Fashion, Product Design,","Nike designs, develops, and markets footwear, apparel, equipment, and accessory products.",—,—,—,—,$10B+,—,"Greater Miami Area, East Coast,"
Somatus,—,1001-5000,"Somatus is a healthcare company that partners with health plans, health systems, nephrology, and primary care groups. It provides integrated care for patients with or at risk of developing kidney disease. Somatus' vertically integrated clinical services and technology delay or prevent disease progression, improve quality and care coordination, and increase the use of home dialysis modalities and rates of kidney transplantation. The company is headquartered in McLean, Virginia and is founded by a team of healthcare operators, entrepreneurs, and clinicians who treat kidney disease.","Mclean, Virginia, United States",2016,"Health Care, Health Diagnostics,,,","Somatus is a healthcare company that partners with health plans, health systems, nephrology, and primary care groups.","Feb 22, 2022",Series E,"$325,000,000","RA Capital Management, GIC,,,",$10M to $50M,"Black / African American Founded,","Washington DC Metro Area, East Coast,"
Typeface,—,11-50,"Typeface is a generative AI application for creating enterprise content. Any enterprise can now create exceptional, on-brand content faster and easier than ever before by combining content velocity with brand personalization and control. It offers self-service content development solutions for the entire lifecycle, allowing every employee to create captivating content with ease, speed, and brand authenticity.","San Francisco, California, United States",2022,"Artificial Intelligence, Content,,",Typeface is a generative AI application for creating enterprise content.,"Feb 27, 2023",Series A,"$65,000,000","Google Ventures, Lightspeed Venture Partners,,",—,—,"San Francisco Bay Area, West Coast,"
ConsenSys,—,501-1000,"ConsenSys is an Ethereum software web3 company. ConsenSys enables developers, enterprises, and people worldwide to build next-generation applications, launch modern financial infrastructure, and access the decentralized web. ConsenSys' product suite, composed of Infura, Quorum, Truffle, Codefi, MetaMask, and Diligence, serves millions of users, supports billions of blockchain-based queries for its clients, and has handled billions of dollars in digital assets. Ethereum is the largest programmable blockchain in the world, leading in business adoption, developer community, and DeFi activity. On this trusted, open source foundation, ConsenSys is building the digital economy of tomorrow.","Brooklyn, New York, United States",2014,"Blockchain, Cryptocurrency, FinTech,,",ConsenSys builds Ethereum blockchain infrastructure and applications ranging from developer tools to enterprise solutions.,"Oct 18, 2022",Secondary Market,"$1,670,000","Protocol Labs, JP Morgan Chase,,,",—,—,"Greater New York Area, East Coast,"
Atlassian,—,1001-5000,"Atlassian produces software that helps teams work together more efficiently and effectively. The company provides project planning and management software, collaboration tools, and IT help desk solutions. The company operates in four segments: subscriptions (term licenses and cloud agreements), maintenance (annual maintenance contracts that provide support and periodic updates and are generally attached to perpetual license sales), perpetual license (upfront sale for indefinite usage of the software), and other (training, strategic consulting, and revenue from the Atlassian Marketplace app store).","Sydney, New South Wales, Australia",2002,"Collaboration, Enterprise Software,,","Atlassian provides collaboration, development, and issue tracking software for teams.","Apr 8, 2014",Secondary Market,"$150,000,000","T. Rowe Price, Accel, Employee Stock Option Fund,",$1B to $10B,—,"Asia-Pacific (APAC), Australasia"
Rocket Lab,—,251-500,"Rocket Lab is a space, building rockets and spacecraft that make it easier to get to orbit and to do amazing things there. Rocket Lab provides end-to-end mission services that provide frequent and reliable access to space for civil, defense, and commercial markets. Headquartered in Long Beach, California, Rocket Lab designs and manufactures the Electron launch vehicles and Photon satellite platform and is developing the Neutron launch vehicle. Since its first orbital launch in January 2018, Rocket Lab’s Electron launch vehicle has become the second most frequently launched U.S. rocket annually and has delivered 105 satellites to orbit for private and public sector organizations, enabling operations in national security, scientific research, space debris mitigation, Earth observation, climate monitoring, and communications. Rocket Lab has two launch sites, including a private orbital launch site located in New Zealand, and a second launch site in Virginia, USA expected to be operational by the end of 2021. Rocket Lab’s Photon spacecraft platform has been selected to support NASA missions to the Moon and Mars, as well as the first private commercial mission to Venus.","Huntington Beach, California, United States",2006,"Aerospace, Electronics, Industrial Manufacturing",Rocket Lab delivers a range of complete rocket systems and technologies for fast and low-cost payload deployment.,"Sep 24, 2021",Grant,"$24,350,000","Neuberger Berman Group, Matthew Brown Companies,,,",$10M to $50M,—,"Greater Los Angeles Area, West Coast,"
Novartis,—,10001+,Novartis is a global healthcare company based in Switzerland that provides solutions to address the evolving needs of patients worldwide. Their mission is to discover new ways to improve and extend people's lives. They apply their expertise in science and innovation to society’s biggest health challenges. Responsibility is a core part of their business strategy.,"Basel, Basel-Stadt, Switzerland",1996,"Biotechnology, Health Care, Medical,",Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide.,"Feb 14, 2018",Grant,"$6,500,000",Bill & Melinda Gates Foundation,$10B+,—,—
EXPERT DOJO,—,1-10,"Expert DOJO is the most active international early-stage startup accelerator in Southern California. We invest $100,000 in each of our startups and help them get traction and scale faster than they could ever do by themselves. Since 2018, we have invested in over 80 startups to accelerate their growth. What makes us special is our focus on building visionary companies. If you can visualize your unicorn, you have a higher probability of achieving its full potential. That’s where Expert DOJO comes in. We invest in pre-seed and seed companies ready to scale quickly. Most of our startups are minority and female founded technology companies. However, we remain industry agnostic and invest in founders from all over the world and from diverse backgrounds.","Santa Monica, California, United States","Dec 2, 2014","Enterprise, Financial Services,,",Expert DOJO is an international startup accelerator based in Santa Monica.,"Oct 9, 2021",Equity Crowdfunding,"$1,070,000","VDOSH, Bay Wharf Capital, Virgil Andry",Less than $1M,—,"Greater Los Angeles Area, West Coast,"
Voyager,—,101-250,"Voyager is a crypto-asset broker that provides retail and institutional investors with a turnkey solution to trade crypto assets. Voyager offers investors execution, data, wallet, and custody services through its institutional-grade open architecture platform. The Voyager app offers a way to invest in 100 cryptocurrencies, including Bitcoin, Ethereum, and a selection of altcoins in North America. The company was founded in 2017 and is based in Jersey City, New Jersey.","Wilmington, Delaware, United States",2017,"Cryptocurrency, Finance, Financial Services,,",Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,"Jun 17, 2022",Post-IPO Debt,"$200,000,000","Blockdaemon, Digital Currency Group,,,",Less than $1M,—,"Greater Philadelphia Area, East Coast,"
