Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Monroe Capital,—,101-250,"Monroe Capital is a specialty finance company providing senior secured and junior secured debt to middle-market companies. Monroe Capital specializes in originating, structuring and providing customized one-stop financings to U.S. and Canadian borrowers. Monroe is committed to being a value-added and user-friendly partner to owners, senior management and transaction sponsors. Investment types include senior and junior secured debt as well as bridge loans, flexible acquisition facilities, mezzanine or last-out secured loans that stretch a companyâ€:tm:s debt capacity, acquisitions of distressed debt and equity co-investments. Monroe Capital prides itself on its flexible investment approach and its ability to close and fund transactions quickly.","Chicago, Illinois, United States","Oct 12, 2004","Banking, Business Development,,",Monroe Capital is a provider of senior and junior debt and equity co-investments to middle market companies in the U.S. and Canada,"Oct 1, 2015",Debt Financing,"$11,000,000",—,$50M to $100M,—,"Greater Chicago Area, Great Lakes,"
Droit,—,101-250,"Droit develops mission-critical solutions to improve global regulatory compliance and real-time controls. Droit Adept is an innovative, patented platform that drives intelligent decision-making in an increasingly complex, rule-driven environment. Adept is trusted by financial institutions to provide solutions for pre-trade and post-trade controls, evaluating transaction permissibility, compliant regulatory reporting, and more. Droit was founded by a team of veteran derivative traders, quants, e-commerce specialists, and technologists with front-line experience and expertise with products, markets, regulations, and systems.","New York, New York, United States",2012,"Compliance, Finance, Information Technology,",Droit is a technology firm that offers a platform focused on computational law and regulation within finance and other domains.,"Mar 7, 2023",Series B,"$23,000,000","UBS, Goldman Sachs, Wells Fargo,,",$1M to $10M,—,"Greater New York Area, East Coast,"
F88,—,251-500,"F88 is a financial services firm that provides loans for micro and small businesses and individual consumers. The company offers small loans, typically secured by automobiles, and offers financial services including insurance and money transfers. F88’s competitive advantage lies in the professional management team with a strong commitment to bringing customers reliable, professional, friendly, and fast financial services, from which, to change social perceptions about the traditional pawn market. With a wide network of stores, a modern technology system, well-trained staff and high-quality services, F88 has been honored Gold Cup for reliable products, perfect service, and preferred brands in 2016 granted by Intellectual Property and Creativity magazine – Intellectual Property Association of Viet Nam and Intellectual Property International Academy.","Hanoi, NA - Vietnam, Vietnam","Jul 15, 2013","Consumer, Finance, Financial Services,",F88 is a financial services firm that provides loans for micro and small businesses and individual consumers.,"Mar 1, 2023",Venture - Series Unknown,"$47,000,000","Lendable, Mekong Capital, CLSA Capital Partners,,",$1M to $10M,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Mayo Clinic,—,10001+,"Mayo Clinic, a not-for-profit medical group practice, provides medical care, research, and education services. It offers medical care services in various specialties, including diabetes and endocrinology, gastroenterology, gynecology, cancer, neurology and neurosurgery, orthopedics, pulmonology, rheumatology, nephrology, urology, and cardiology and heart surgery.","Rochester, Minnesota, United States",1919,"Biotechnology, Health Care, Hospital,,,","MayoClinic is a nonprofit medical practice and medical research group focused on integrated health care, education, and research.","Oct 31, 2019",Grant,"$15,000,000","National Institutes of Health, U.S. Department of Defense,",$10B+,—,"Great Lakes, Midwestern US"
FIS,—,10001+,"FIS focuses on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions. FIS serves more than 20,000 clients in over 130 countries. Headquartered in Jacksonville, Florida, FIS employs more than 53,000 people worldwide. FIS is a Fortune 500 company and is a member of the Standard & Poor’s 500® Index.","Jacksonville, Florida, United States",1968,"Banking, Financial Services, Information Technology,","FIS focuses on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions.","Jul 6, 2022",Post-IPO Debt,"$2,500,000,000","Alumni Ventures, OceanIQ Capital,,",$1B to $10B,—,"East Coast, Southern US"
Envisics,—,51-100,"ENVISICS branded technology harnesses the power of holography and laser-based light sources to provide the highest possible image quality. The advancement of ENVISICS branded technology has the opportunity to transform automotive displays and revolutionize the in-car experience. In partnership with the world's leading automakers and tier-one suppliers, Envisics is making the future of holographic technology a reality for smarter and safer vehicles","Milton Keynes, Milton Keynes,","Jan 1, 2018","Augmented Reality, Automotive,,,",Envisics is a holographic technologies company focused on augmented reality head-up displays (AR-HUDs) and automotive sensor systems.,"Mar 9, 2023",Series C,"$50,000,000","Hyundai Mobis, InMotion Ventures,,,",$1M to $10M,—,—
Doctolib,—,1001-5000,"Doctolib is an online healthcare booking platform and management software provider. For doctors, Doctolib offers a full-range service to improve bookings management, reduce no-show, and bring new patients to their office. For patients, Doctolib is a free online service to find a nearby health practitioner and book doctors or dental appointments 24/7 within a few clicks. Founded in 2013, Doctolib is based in Paris, France.","Paris, Ile-de-France, France",2013,"Health Care, Medical, Mobile Apps,",Doctolib is an online and mobile booking platform that helps users find doctors and make appointments.,"Mar 15, 2022",Series F,"€500,000,000","Eurazeo, Bpifrance, Accel, General Atlantic,",—,—,European Union (EU)
Recorded Future,Yes,1001-5000,"Recorded Future develops a single intelligence platform for enterprise security. The platform delivers an end-to-end view of threats across the enterprise. It is purpose-built for user and technology workflows, with the broadest set of integrations, including every SIEM and SOAR provider. Data is dynamically linked and updated as changes occur, with direct source evidence to justify decision-making.","Somerville, Massachusetts, United States",2009,"Analytics, Cyber Security, Intelligent Systems,",Recorded Future develops a single intelligence platform for enterprise security.,"Mar 17, 2023",Venture - Series Unknown,"$11,325,964","Google Ventures, Insight Partners,,,",$1M to $10M,—,"Greater Boston Area, East Coast,"
Xiaohongshu,—,1001-5000,"Xiaohongshu is a lifestyle-sharing platform for users to share positive energy and good life through the sharing of text, pictures, and videos. Xiaohongshu offers an overseas shopping tip app. Xiaohongshu started its business by helping overseas travelers to draft a shopping list before they hit the roads. But with the aggregation of more UGC content, the service is transforming into a community for those who are passionate about fashion and shopping and want to know more about these fields even though they do not have overseas traveling plans on their schedules.","Shanghai, Shanghai, China",2013,"E-Commerce, Mobile Apps, Shopping,",Xiaohongshu is a social e-commerce platform for users to share product reviews and shopping experiences.,"Nov 8, 2021",Series E,"$500,000,000","Tencent, Alibaba Group, GSR Ventures,,",$500M to $1B,—,Asia-Pacific (APAC)
CyberConnect,—,11-50,CyberConnect is a decentralized social graph protocol with identity sovereignty for mass adoption and network effects.,"Palo Alto, California, United States",2021,Information Technology,CyberConnect is a decentralized social graph protocol with identity sovereignty for mass adoption and network effects.,"May 17, 2022",Series A,"$15,000,000","Protocol Labs, Animoca Brands,,,",—,—,"San Francisco Bay Area, Silicon Valley,"
